                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8426,                 6.1521,                 1.7461,                0.00251,                0.00167,                0.00139,                0.00118,                 1.4634,                 5.8514,                 1.5243,             9.2444e-06,             9.2444e-06,             9.2444e-06
                      1,                 1.8426,                 6.1521,                 1.7461,                0.00251,                0.00167,                0.00139,                0.00118,                 1.4634,                 5.8514,                 1.5243,             9.2444e-06,             9.2444e-06,             9.2444e-06
                      2,                 1.5533,                 5.8702,                 1.5425,                0.00443,                0.01126,                0.00301,                0.00211,                 1.2948,                  5.558,                 1.3764,             1.8394e-05,             1.8394e-05,             1.8394e-05
                      3,                 1.4597,                 5.6768,                  1.427,                0.00637,                0.01968,                0.00918,                0.00638,                 1.2136,                 5.2499,                 1.3225,             2.7358e-05,             2.7358e-05,             2.7358e-05
                      1,                 1.8426,                 6.1521,                 1.7461,                0.00251,                0.00167,                0.00139,                0.00118,                 1.4634,                 5.8514,                 1.5243,             9.2444e-06,             9.2444e-06,             9.2444e-06
                      4,                 1.4001,                 5.3561,                 1.3548,                0.01626,                0.02866,                 0.0174,                0.01229,                 1.1886,                 4.8848,                 1.2661,             2.7168e-05,             2.7168e-05,             2.7168e-05
                      2,                 1.5533,                 5.8702,                 1.5425,                0.00443,                0.01126,                0.00301,                0.00211,                 1.2948,                  5.558,                 1.3764,             1.8394e-05,             1.8394e-05,             1.8394e-05
                      5,                 1.3372,                 5.0211,                 1.3154,                0.01518,                0.02748,                0.01644,                0.01269,                 1.1784,                 4.5145,                 1.2349,             2.7168e-05,             2.7168e-05,             2.7168e-05
                      3,                 1.4597,                 5.6768,                  1.427,                0.00637,                0.01968,                0.00918,                0.00638,                 1.2136,                 5.2499,                 1.3225,             2.7358e-05,             2.7358e-05,             2.7358e-05
                      6,                 1.3054,                 4.7267,                 1.2914,                0.04558,                0.03629,                0.02442,                0.01887,                 1.1659,                 4.2288,                 1.2247,             2.6891e-05,             2.6891e-05,             2.6891e-05
